A00, A01, A02, A03, A04, A05, A06, A07,A08, A09, A10, A11, A12, A13, A14, A15, A16, A17, A18, A19, A20, A21, A22, A23, A24, A25, ClaseReconocida
158.334,99.2244,57.4589,133.248,160.01,16.1724,118.944,130.239,99.0418,150.05,37.1929,106.645,168.718,12.4821,178.589,0.390776,165.957,171.316,131.023,76.2739,152.703,33.0759,131.608,74.8073,153.585,67.4043,Ataque01
138.088,99.9926,69.3295,132.101,135.095,8.74712,132.677,145.049,96.512,150.575,13.7682,112.579,169.327,12.0821,179.206,1.4799,166.046,176.031,130.904,76.1986,152.897,33.1354,134.646,78.7998,146.554,49.5183,Ataque01
139.758,0,69.4385,53.1452,134.528,2.63245,131.108,147.805,87.4084,154.526,13.2543,123.907,169.944,11.6624,178.559,2.02496,166.035,173.717,130.777,76.1506,153.073,14.5239,142.996,76.7957,140.208,49.1033,Ataque01
142.57,0,64.8426,53.0471,160.139,16.3227,117.059,135.016,99.0351,147.181,37.5977,106.218,169.415,12.0076,179.629,2.50896,168.656,173.903,128.049,78.7113,153.24,14.393,126.729,71.5232,161.748,53.1306,Ataque01
138.461,57.1603,80.6,179.716,177.465,10.7217,96.1479,132.256,88.9826,156.277,55.5139,116.3,125.651,15.2344,135.865,4.84897,170.552,171.722,132.839,80.5574,146.603,21.6194,136.826,81.5497,141.624,63.0648,Ataque01
136.995,0,78.48,55.1362,161.529,17.7842,110.43,143.528,67.8587,161.346,35.0804,144.233,145.071,8.30387,134.602,2.29571,172.524,167.6,118.352,80.4759,161.172,11.8584,119.011,75.3926,165.596,56.5932,Ataque01
137.968,100.312,76.7274,132.144,159.896,8.9403,107.918,146.374,91.6175,156.425,37.0103,113.946,126.631,13.5644,136.582,1.48678,170.878,169.265,118.018,80.9189,161.063,11.828,124.692,77.1125,158.196,71.2009,Ataque01
136.734,98.2302,79.0594,136.529,179.898,0.41912,87.9677,151.893,76.3963,147.688,51.4518,128.231,172.511,9.52485,178.966,0.817321,174.797,168.182,123.841,82.6825,153.477,21.7021,115.866,71.9771,172.157,66.7164,Ataque01
136.606,98.7963,81.5178,138.385,177.482,8.62937,85.7595,153.283,64.9016,147.662,51.6279,139.519,172.349,9.6882,178.906,0.803984,172.57,168.158,133.021,80.4274,146.552,21.7037,118.737,72.0016,169.261,48.5429,Ataque01
127.079,98.9546,89.947,135.804,179.954,0.097054,88.0417,151.939,75.7758,151.9,51.3763,128.767,173.25,8.89024,178.241,0.246627,174.802,167.638,111.743,82.7672,165.49,21.664,116.289,71.3948,172.316,75.0852,Ataque01
136.778,98.7999,81.4372,138.37,166.501,2.35574,79.1206,146.135,77.556,157.506,62.6066,128.536,130.273,9.76485,136.952,0.962289,170.894,169.907,175.004,75.4533,109.542,20.8252,128.759,61.9421,169.299,42.9981,Ataque01
151.994,103.846,75.2267,133.811,177.06,2.87143,91.6631,136.818,80.9494,148.279,52.08,127.989,130.535,9.21799,137.225,0.419627,173.088,172.239,166.489,77.4543,116.057,50.7848,126.688,71.3549,161.957,54.1419,Ataque01
159.988,112.567,64.6629,122.664,168.847,11.6934,79.1154,141.878,90.4949,152.602,64.3635,115.096,128.333,71.4407,136.667,60.9358,170.536,174.366,176.778,80.3783,102.844,21.638,124.518,72.7705,162.711,72.1613,Ataque01
164.55,105.399,57.7418,127.491,177.53,16.3658,88.2206,150.093,94.7434,152.054,54.7174,106.447,126.182,81.3996,136.147,69.2481,170.541,174.368,133.024,80.5465,146.429,21.7131,128.606,76.9932,154.4,68.2853,Ataque01
160.113,105.21,62.274,127.73,178.073,20.9678,97.8815,130.327,101.033,147.232,55.2525,101.853,124.625,99.382,134.648,82.8305,170.617,176.7,132.955,80.7278,146.317,21.6895,121.65,80.1555,158.195,45.4002,Ataque01
152.787,98.9458,64.3776,135.746,168.906,11.7533,87.0787,133.405,92.1967,145.489,64.2387,115.102,125.453,84.2568,133.696,67.3534,170.978,176.565,174.982,75.6389,109.379,55.4019,121.782,84.7146,153.503,63.256,Ataque01
156.056,98.2319,62.1135,138.658,166.408,3.06332,87.5462,133.03,81.3057,149.821,64.7812,125.747,125.059,84.5369,133.525,69.4608,170.968,178.918,174.92,80.6216,104.458,57.6774,128.471,87.8699,143.659,57.7597,Ataque01
152.858,98.0564,66.626,138.884,166.345,20.3693,85.0251,135.533,95.9755,149.671,64.7537,108.532,126.05,97.7247,134.474,84.8936,174.684,176.705,42.8822,42.8822,8.53774e-07,0,128.681,77.0223,154.297,68.1274,Ataque01
138.953,98.3419,80.7142,139.197,151.782,2.87397,66.3026,141.616,80.9018,163.038,79.1429,126.201,83.6798,11.8504,92.0535,1.16267,174.681,166.131,42.9032,42.9032,0,0,167.187,66.6013,126.212,69.6287,Ataque01
160.538,98.9677,66.63,138.589,151.73,10.4853,66.2779,140.878,86.012,153.873,79.4154,118.37,127.261,79.1543,135.844,66.1287,173.357,169.847,163.663,72.3114,124.026,45.2456,120.336,68.1333,171.53,69.7822,Ataque01
160.508,98.887,66.6146,138.594,159.967,2.66284,76.3204,138.456,85.4805,163.581,71.0406,126.33,175.232,9.68663,174.336,5.16655,175.433,174.232,170.543,72.3107,117.146,45.3001,110.72,70.4946,178.785,34.1938,Ataque01
160.547,99.2286,66.5991,138.283,159.779,13.5476,76.2191,138.372,93.7075,161.022,71.4259,115.248,127.701,70.8383,136.261,57.8725,173.054,169.796,166.435,77.43,116.135,50.6819,112.925,64.8644,177.79,54.7303,Ataque01
160.539,99.3231,66.6151,138.227,159.456,13.7495,75.9397,137.912,93.8603,158.398,71.6827,115.112,127.48,76.1065,135.992,63.1635,173.31,169.825,163.614,72.3792,124.006,45.2953,112.881,68.3285,178.791,9.06027,Ataque01
160.537,99.0281,66.6322,138.536,159.425,13.7302,75.9695,138.863,93.7721,158.402,71.4747,115.37,83.7427,11.8315,89.9636,1.17866,168.935,165.461,168.517,75.5331,115.95,50.802,115.203,66.1071,178.689,34.1558,Ataque01
137.681,99.7761,78.5018,135.505,162.059,8.28323,66.1064,159.305,86.0342,157.789,73.0728,116.585,167.279,99.2338,179.66,84.3946,177.375,170.399,164.217,79.1265,116.656,50.1271,111.664,68.378,179.958,69.9245,Ataque01
144.697,102.002,77.2094,137.905,156.941,15.4768,71.8805,146.035,90.4026,156.929,70.0541,117.528,114.795,78.5796,123.583,65.2663,177.295,171.899,164.184,79.1133,116.702,50.1275,120.642,67.307,172.051,70.8473,Ataque01
151.524,91.1244,71.732,151.392,154.105,7.23301,80.3062,132.769,79.5432,151.14,68.6539,130.008,129.164,81.2588,134.328,69.4911,175.306,178.489,164.126,79.2125,116.662,50.1071,131.598,87.5714,140.831,57.6371,Ataque01
151.374,98.884,71.7964,143.189,154.345,6.66316,75.9427,137.789,77.1762,151.627,68.377,130.615,170.437,81.198,175.654,69.4479,173.286,176.325,166.183,77.1887,116.629,50.14,126.819,84.875,148.306,39.9743,Ataque01
144.652,99.299,79.7777,142.749,154.453,18.5256,76.0198,137.839,52.8644,152.511,69.8453,154.227,127.879,78.6963,136.731,65.4076,177.44,176.225,164.062,79.1255,116.813,50.0309,126.937,84.7851,148.278,57.9215,Ataque01
144.617,97.7393,81.8292,146.715,159.036,16.9269,82.8119,137.648,54.2501,159.127,61.9412,155.95,139.2,68.7684,144.586,59.108,173.585,174.045,163.251,71.3593,125.39,44.0806,131.142,79.7018,149.157,62.9945,Ataque01
144.75,95.5875,81.7586,148.908,140.143,1.8126,63.6009,137.864,66.768,151.655,80.7914,140.878,171.425,77.0166,176.808,65.1706,173.613,179.016,163.22,71.3756,125.405,44.0357,116.464,82.507,161.029,44.7946,Ataque01
128.063,99.4049,96.6482,143.237,141.874,3.45969,61.4901,143.331,66.8432,151.464,80.9312,140.655,170.309,81.4664,177.756,69.5683,177.658,178.47,161.265,73.4193,125.316,44.1071,131.722,87.5153,140.763,65.5003,Ataque01
152.56,99.5654,79.5411,143.062,141.944,3.51058,63.4786,138.047,66.7506,151.367,82.4652,139.101,127.376,79.0807,136.439,65.585,177.682,178.131,161.228,73.2867,125.485,43.9847,138.015,87.1637,134.821,57.4845,Ataque01
152.515,99.0127,79.5614,143.561,142.04,3.66572,63.5741,137.936,66.7886,151.497,80.8349,140.791,172.298,69.0329,179.792,59.288,179.777,176.316,152.959,75.2933,131.748,43.9947,131.677,81.8677,146.456,62.977,Ataque01
152.625,99.212,79.4702,143.439,141.806,7.65319,67.3774,130.557,79.9229,151.437,80.9035,129.637,135.688,51.1337,142.997,43.5854,179.678,174.634,152.982,75.3447,131.673,44.0553,124.434,77.1583,158.408,67.9905,Ataque01
128.026,99.859,96.5696,142.743,141.958,7.39457,65.3524,132.679,79.8221,151.572,81.0019,129.646,173.72,93.7347,179.237,86.0278,175.694,176.635,155.02,73.3238,131.657,44.1081,135.292,79.2653,145.442,32.3975,Ataque01
139.058,99.6876,85.6243,142.51,153.659,3.69127,75.5151,134.515,66.6338,151.528,69.1929,140.839,171.668,94.8488,179.168,82.9446,177.595,179.373,161.277,74.4203,124.302,41.1787,135.446,95.3366,129.217,52.0084,Ataque01
160.689,99.6799,71.4752,142.514,142.005,3.52892,67.6297,130.575,68.6855,154.835,80.872,140.652,171.175,94.846,178.692,82.8996,177.605,179.369,161.224,73.3063,125.47,44.0018,135.372,95.2664,129.362,52.0704,Ataque01
160.633,99.3828,71.5254,142.761,142.112,3.76183,65.4777,132.775,66.634,151.633,80.6069,141.043,174.227,93.8628,179.575,84.1506,173.413,179.157,166.027,77.5649,116.408,50.6211,122.002,84.6125,153.385,62.8882,Ataque01
160.537,99.5749,71.5346,142.555,142.112,18.1581,63.4335,135.034,54.8992,154.236,80.6552,155.391,173.725,93.8416,178.827,86.2409,177.542,176.608,164.007,79.6455,116.347,50.6234,129.567,89.9679,140.465,57.2071,Ataque01
152.478,99.5075,77.1341,140.528,148.599,16.0504,71.4949,130.474,90.9507,153.394,78.4427,116.908,170.562,96.4263,177.57,82.9998,175.517,171.18,164.116,79.3187,116.565,50.1802,123.696,67.2292,169.074,52.0828,Ataque01
152.439,99.6181,74.7946,137.883,159.346,13.8856,73.7671,143.506,93.9823,164.985,71.6863,115.082,116.883,97.5582,127.386,84.5888,177.427,167.676,164.169,79.2039,116.627,54.5765,116.738,69.3427,173.92,88.4159,Ataque01
160.5,99.2494,66.7207,138.248,159.473,13.7154,75.8221,138.091,93.843,158.402,71.5645,115.247,114.323,97.9415,124.818,84.9403,177.448,170.028,164.116,79.7882,116.096,50.7265,114.705,71.516,173.779,48.3682,Ataque01
152.438,0,74.8001,57.944,159.851,2.6122,74.1704,140.46,80.9207,156.528,71.2707,126.267,118.402,97.4108,128.925,84.4562,177.453,169.895,164.107,79.6925,116.201,50.6385,116.684,71.6728,171.643,48.0432,Ataque01
152.568,99.4323,77.1306,140.437,149.236,5.03909,65.9696,140.465,82.815,159.753,77.8006,127.924,120.17,95.844,129.063,86.6646,177.624,170.258,161.408,74.4664,124.125,41.1853,139.081,77.7745,143.145,44.4159,Ataque01
152.59,99.5405,77.0131,140.32,163.597,6.26319,80.5596,139.889,69.5107,160.227,63.4463,139.22,125.882,53.3053,132.687,42.0021,173.259,174.582,166.267,77.6992,116.034,50.7709,122.229,75.7658,162.005,48.9445,Ataque01
152.548,0,74.6157,57.9833,159.907,13.3869,76.343,138.353,93.6393,158.489,71.3629,115.343,170.392,72.7642,178.988,59.5302,173.236,168.419,166.304,77.6692,116.027,50.8021,116.005,70.2688,173.726,48.1757,Ataque01
160.413,0,64.3963,55.6968,179.263,18.0421,92.8435,143.422,69.5971,163.65,54.2089,143.096,161.916,10.7254,151.929,6.01621,173.223,174.991,166.3,77.5614,116.138,50.7207,120.155,74.3776,165.467,48.1091,Ataque01
160.406,99.4542,64.4185,135.782,179.044,26.2997,93.022,141.097,59.2635,164.104,53.9344,151.409,153.712,33.9279,143.715,48.5279,173.204,172.861,166.327,77.4762,116.197,50.7213,120.103,74.5706,165.326,47.3171,Ataque01
160.434,0,66.6993,58.0095,151.695,13.8868,66.1457,140.426,94.1049,161.242,79.3445,115.074,83.634,55.6733,92.0029,44.955,175.323,167.168,164.155,79.904,115.941,50.8276,127.085,70.9441,161.971,48.8345,Ataque01
152.492,99.9142,79.7017,142.687,141.709,25.699,69.5346,128.249,100.123,157.829,81.1469,111.445,169.55,95.0141,176.982,82.8823,179.683,178.93,161.953,80.6131,117.434,49.2676,129.633,90.7072,139.66,56.8586,Ataque01
152.385,99.5149,77.0249,140.347,157.123,13.4179,74.0193,143.878,64.4114,162.467,70.0461,146.248,175.268,0.884847,177.77,12.2418,175.711,175.011,168.372,73.3551,118.273,44.1751,126.187,72.4687,161.345,70.5509,Ataque01
135.143,0,92.1698,58.1107,166.318,2.06984,78.8646,142.123,82.2351,158.688,62.9383,128.674,175.045,19.682,178.176,10.6535,175.698,172.553,161.374,73.3653,125.26,44.1775,126.513,71.4757,162.011,71.2016,Ataque01
135.11,0,94.3462,60.2969,149.031,4.78503,63.8285,145.295,82.6608,165.099,78.264,127.92,173.466,52.8758,179.476,43.5872,175.573,172.53,164.137,79.2401,116.623,50.1467,126.712,75.8477,157.44,48.995,Ataque01
152.637,98.9932,79.4492,143.545,153.832,7.08067,75.4278,134.427,79.4387,153.372,68.8621,130.226,135.635,51.5078,142.827,41.9487,177.188,167.623,164.391,79.4814,116.128,50.6798,125.124,69.4137,165.462,24.4764,Ataque01
152.784,99.4272,79.3125,142.622,153.835,7.22858,75.4375,134.446,79.5554,153.339,68.8589,130.078,129.322,94.0405,136.569,84.2901,177.445,161.202,164.311,79.7311,115.958,50.8049,123.052,63.3996,173.549,48.4394,Ataque01
152.769,99.4491,79.272,142.65,153.715,3.71391,75.3265,134.436,66.5907,160.299,69.0934,140.906,171.944,94.7679,179.386,85.0114,177.525,166.973,164.088,79.8238,116.088,50.7396,125.967,72.5003,161.532,62.6655,Ataque01
152.28,0,77.0572,60.3654,149.131,13.359,65.9936,140.307,67.0866,163.742,78.0984,146.13,173.753,43.6269,179.171,34.3865,175.727,176.767,155.013,73.3146,131.673,44.0993,125.291,79.6654,155.044,32.1649,Ataque01
135.195,100.261,89.5738,134.937,162.075,45.2376,110.137,140.499,40.3929,164.323,35.3671,171.945,174.155,7.66882,177.364,2.87928,175.574,172.412,164.049,79.0652,116.886,50.0934,121.936,67.3615,170.702,57.1182,Ataque01
135.236,0,91.9723,58.1357,166.389,15.8506,78.9758,146.086,64.8636,159.224,62.8734,146.589,179.105,8.05023,174.048,0.931491,175.588,172.379,164.129,79.3332,116.538,50.2711,121.878,71.4746,166.648,70.9847,Ataque01
135.342,0,96.7206,63.0731,141.609,8.06316,63.1757,138.473,80.5067,157.29,81.2114,129.117,119.271,69.3026,124.542,59.468,175.298,179.086,166.342,85.1698,108.488,56.2568,125.37,90.1193,144.511,57.0062,Ataque01
135.343,100.424,94.5458,139.961,163.312,13.1252,78.6646,148.802,62.1871,160.385,61.6855,148.127,174.738,93.8236,179.986,84.1939,175.448,169.815,139.744,79.3146,140.941,54.822,120.575,67.9143,171.511,69.8237,Ataque01
135.317,100.837,96.7028,141.7,146.123,7.09081,65.6471,143.46,79.5856,157.319,76.8927,129.893,173.105,94.7059,178.545,84.6833,175.265,171.879,166.376,85.1484,108.476,56.2856,123.439,81.5941,154.967,58.4574,Ataque01
135.319,100.911,96.7638,141.619,141.982,7.1588,61.4073,140.104,82.4009,157.768,80.9045,129.954,135.519,68.8747,140.841,58.9469,175.261,169.505,121.23,85.2057,153.564,56.3354,131.664,78.9143,149.422,58.8927,Ataque01
135.293,100.482,94.6421,139.831,156.409,4.75983,73.66,140.065,77.631,151.33,68.549,130.282,173.285,94.3565,178.468,82.4959,175.289,171.488,166.404,85.1363,108.46,56.268,123.8,74.767,161.433,63.1461,Ataque01
135.336,99.6734,96.8067,142.769,146.701,10.8936,70.3921,135.761,64.2882,154.061,76.2536,147.939,174.172,6.27294,168.866,1.39927,175.245,167.226,166.438,85.1397,108.422,56.3512,136.085,78.8571,145.058,59.1015,Ataque01
135.384,99.5791,96.8152,142.908,146.691,10.9204,70.3531,135.908,64.3121,154.279,76.196,148.034,174.502,6.93361,179.758,0.662842,175.198,168.377,166.443,85.1284,108.428,56.2921,130.439,76.099,153.462,44.9233,Ataque01
135.242,99.8046,96.9352,142.648,146.792,11.0427,68.2353,138.599,64.0724,159.623,76.1255,148.125,174.945,53.096,179.779,45.4754,173.251,170.626,166.285,77.728,115.987,50.8506,113.802,73.9896,172.208,48.7565,Ataque01
135.085,0,97.0605,62.9478,146.806,10.8341,68.1785,138.495,64.3222,159.709,76.0251,148.003,161.922,50.7347,167.121,41.0887,173.3,172.289,166.272,77.755,115.973,50.8592,128.884,73.7776,157.338,48.5263,Ataque01
135.266,99.2129,94.2402,140.655,149.282,4.61314,68.1142,138.022,82.6041,160.253,77.9494,128.155,172.851,95.6893,179.883,84.252,173.323,174.191,166.206,77.754,116.04,50.8486,136.865,79.6187,143.517,62.6867,Ataque01
135.206,0,94.2794,60.372,149.002,5.11872,70.02,135.418,83.0593,160.18,78.2299,127.65,172.047,95.6443,179.056,86.3169,175.476,172.225,158.291,79.1812,122.528,50.1379,130.957,75.0793,153.963,67.3818,Ataque01
135.133,0,94.3621,60.3556,149.258,4.68265,66.2106,143.224,82.5796,162.415,77.9685,128.091,173.612,56.613,179.386,47.32,175.499,170.134,164.164,79.2816,116.555,50.2902,124.196,73.6285,162.175,66.5859,Ataque01
135.141,0,92.115,58.1358,177.478,41.7478,92.1294,143.269,41.2442,168.096,51.6078,172.662,143.479,7.18333,136.8,1.77502,175.403,167.852,139.289,85.0774,135.633,26.549,122.911,71.3964,165.693,48.7661,Ataque01
135.313,0,96.761,63.0251,141.998,7.42868,61.5061,143.498,79.9458,157.363,80.8794,129.694,145.247,50.9441,150.524,41.2791,175.488,168.175,170.535,79.382,110.083,54.8847,114.842,66.6958,178.463,51.6019,Ataque01
135.18,0,97.0015,63.0964,141.736,7.76017,61.3115,143.533,80.1852,155.112,81.2049,129.299,172.689,94.793,178.104,82.9078,175.495,172.387,157.884,79.3594,122.756,54.822,118.238,68.3611,173.401,51.9853,Ataque01
135.168,0,96.9528,63.0649,141.777,7.53115,59.2329,148.981,79.9983,155.123,81.189,129.503,173.662,50.5508,179.06,40.9613,175.47,174.303,139.748,79.3658,140.886,54.8697,118.507,71.4561,170.037,53.2858,Ataque01
135.163,100.022,94.8205,140.363,156.362,4.82188,71.6609,148.935,77.615,149.811,68.6185,130.198,174.67,6.96361,179.908,0.460711,175.302,172.359,172.078,85.0678,102.854,60.8016,118.424,75.7227,165.853,66.8113,Ataque01
135.278,0,94.5855,60.8833,163.359,13.1101,82.9099,141.361,62.3404,155.987,61.6308,148.12,175.148,6.52739,179.563,0.874804,175.515,174.711,139.704,79.3136,140.982,50.3545,119.379,77.7897,162.831,67.2808,Ataque01
128.066,98.1947,94.4126,142.27,155.995,4.89899,73.5434,144.098,77.3342,157.567,68.8876,130.219,174.197,94.2516,179.524,84.7848,175.543,169.705,164.078,79.2274,116.695,50.207,131.047,71.6568,157.296,47.5495,Ataque01
144.871,98.5949,79.5735,143.373,153.959,7.25052,75.7509,141.825,77.7419,151.522,68.9668,129.824,172.825,50.7427,178.153,43.2353,175.511,172.078,164.19,79.455,116.355,50.3678,130.915,79.7954,149.29,62.7053,Ataque01
144.925,99.0738,77.3833,140.757,151.747,5.63992,75.1641,133.521,76.5103,149.833,73.3118,129.301,170.983,94.6999,178.231,82.9265,179.411,179.05,119.054,87.5463,153.4,21.6435,129.182,95.679,135.139,51.8751,Ataque01
144.811,98.2916,77.4729,141.5,156.385,5.32825,79.7018,133.605,76.4026,144.724,68.6819,129.605,172.861,50.8442,178.145,43.4341,173.354,174.462,111.18,83.5343,165.286,21.7194,128.566,87.5022,143.932,57.7497,Ataque01
143.617,83.5098,77.4371,156.734,156.489,5.20321,79.7484,133.673,76.3292,144.756,68.6156,129.692,173.38,50.5997,178.679,43.171,173.346,174.456,111.178,83.4903,165.332,21.7216,124.434,87.4882,148.078,57.743,Ataque01
143.642,98.463,77.4998,141.357,156.339,5.44624,81.9436,131.356,76.4158,146.108,68.7135,129.501,171.818,68.7374,177.103,59.2491,175.494,178.733,106.319,85.7165,167.965,21.707,129.129,95.656,135.215,60.0643,Ataque01
144.75,87.8997,79.7251,154.579,153.951,7.36182,80.0882,133.117,77.9989,146.468,69.0947,129.592,171.709,68.91,177.172,59.2227,173.347,176.21,111.104,83.4381,165.458,18.537,136.322,87.0364,136.641,65.997,Ataque01
144.766,89.1332,79.7376,153.349,142.072,7.5459,69.8799,131.024,78.0965,146.333,80.9251,129.457,171.913,68.762,179.319,59.15,177.36,176.452,109.185,85.5545,165.26,21.7294,124.49,87.4192,148.091,57.8673,Ataque01
144.593,84.856,79.8546,157.631,153.914,7.49906,79.4299,130.574,77.9819,149.538,69.0765,129.51,172.082,51.279,179.471,41.8588,177.333,169.371,121.167,85.3815,153.452,21.6788,120.413,75.3577,164.23,45.2964,Ataque01
144.591,92.9563,79.8307,149.523,154.031,7.16405,79.5083,130.598,77.7354,149.525,68.9709,129.834,173.164,8.8229,179.453,1.32623,177.332,165.298,109.216,85.4133,165.371,21.7406,116.72,73.2077,170.072,63.0319,Ataque01
143.214,108.049,77.816,132.244,174.319,12.7945,95.8765,135.699,62.5636,155.563,50.702,147.774,173.598,73.0769,179.192,65.7032,177.361,165.324,109.182,85.358,165.46,21.7232,116.774,73.2388,169.987,62.906,Ataque01
143.207,93.9628,77.906,146.352,166.477,4.92669,85.9176,137.827,77.6157,155.149,58.5178,130.078,173.603,71.6547,179.193,64.2659,175.13,167.004,111.456,83.0994,165.445,21.753,123.753,74.7819,161.465,63.0038,Ataque01
151.89,107.776,77.9198,132.526,166.645,12.5928,81.9919,145.939,62.7893,160.417,58.3915,147.557,174.283,7.76099,178.466,0.36016,175.118,169.958,123.456,82.9952,153.549,21.7835,128.97,73.4591,157.571,67.0163,Ataque01
151.867,105.471,77.8648,134.829,174.81,13.4854,90.1686,142.908,61.9154,166.398,50.0681,148.607,175.267,6.54465,177.588,2.76392,174.88,169.74,123.802,82.6153,153.583,26.2826,125.965,71.6331,162.402,66.4118,Ataque01
151.831,101.256,75.1909,136.356,171.754,1.92281,102.799,140.464,79.8761,162.053,41.1419,128.689,173.712,8.22737,179.325,0.800458,170.763,169.959,170.803,80.4311,108.766,26.3359,128.932,69.7312,161.337,53.3616,Ataque01
127.051,111.65,92.3684,126.011,166.265,2.69263,80.7251,140.67,78.8702,164.814,63.1081,127.934,172.12,51.6895,179.109,40.5708,171.056,172.438,125.604,80.958,153.438,21.6939,135.209,74.2576,150.533,49.5139,Ataque01
127.064,95.2371,95.0252,145.076,156.58,12.3164,73.6895,140.7,61.1932,160.577,68.4663,147.27,173.899,49.9062,178.77,40.4796,175.106,169.546,111.523,83.2364,165.241,11.8819,131.114,83.2967,145.589,54.9903,Ataque01
